Name,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
FHL1,18.273,19.8283,18.9519,24.8755,15.9131,20.9467,17.9211,19.1771,15.123,16.273,16.9886,18.8915,20.3595,18.4889,19.011,20.4446,20.6712,23.1012,22.0154,19.2286,19.488,19.5011,18.0075,21.5969
ISR1,61.5331,72.6062,81.6632,72.7715,37.1698,74.1341,78.16,64.6014,63.2843,57.401,55.1162,58.6256,68.5924,69.6349,75.115,80.1438,78.4461,73.5704,81.2453,73.7789,74.3115,85.8389,59.5614,86.8381
RPN7,284.877,220.31,268.603,276.877,260.269,309.677,187.91,342.075,228.403,231.04,242.578,312.686,219.508,253.484,243.702,264.257,312.72,235.659,220.171,166.683,333.945,249.845,208.56,277.77
GLD1,111.349,98.8164,114.427,107.509,117.469,94.9941,96.9278,94.5281,94.9599,97.3204,111.259,121.596,86.5395,89.084,108.344,99.82,97.4615,117.061,110.053,86.9305,102.135,90.1745,78.9332,102.813
RPC40,264.31,257.515,227.517,214.289,162.147,265.914,247.444,250.464,234.409,256.005,246.241,349.909,235.104,218.296,243.287,250.989,330.621,281.325,345.046,304.647,267.762,283.872,324.332,363.097
DBF20,30.3921,27.2103,31.1848,29.3809,27.5979,30.5619,27.8632,30.1239,30.5499,26.2851,28.4509,33.6393,27.5406,26.354,28.4902,31.006,34.9987,33.3702,29.6155,22.267,32.8596,25.5038,28.4158,34.0395
MRD1,23.4085,26.1672,15.6126,17.9935,17.2346,25.3504,19.9011,18.6978,18.7939,18.9088,19.7492,17.1087,15.2535,22.8344,20.4626,18.6417,27.2771,34.7351,36.4057,47.792,29.2191,34.853,35.297,31.5863
PIS1,840.377,832.226,725.622,1211.56,801.743,737.819,697.082,711.358,718.12,1074.36,763.258,943.138,747.001,707.055,783.277,576.891,536.924,674.64,832.247,612.923,798.891,887.589,356.911,648.985
YPR114W,262.202,355.813,284.387,228.613,304.737,365.241,296.914,272.201,416.52,284.626,286.426,256.383,335.795,352.714,387.161,353.734,401.121,302.559,361.054,450.31,322.43,281.703,336.966,299.559
RGC1,60.692,62.5935,57.8334,71.2802,55.367,66.8879,58.0149,56.4905,58.547,53.1647,49.9552,47.2777,61.9096,59.6812,62.2356,68.6715,65.2285,76.0387,59.0233,50.9203,58.9726,62.2785,59.0283,57.8069
HOB2,28.8469,25.6034,27.9812,37.3582,30.3741,28.5355,25.3499,25.4037,26.9521,29.6857,25.4848,31.776,27.664,21.1537,24.8613,23.5122,30.2699,21.0495,23.7571,22.3391,26.6621,20.7671,19.1636,24.9197
USE1,83.7026,79.9791,84.4358,115.81,120.01,103.459,97.0732,116.116,84.7588,94.0268,70.2121,112.577,84.5891,72.6348,82.1021,97.4634,77.4974,59.1988,78.9702,74.6206,67.5848,106.473,81.8285,92.3299
LSG1,31.1658,30.1158,24.5221,28.9022,28.7832,29.4882,30.3797,28.3159,29.899,30.5723,31.0766,28.0258,32.4357,30.2305,32.5203,29.6359,35.6487,37.0765,44.4579,54.4448,40.5926,37.7771,41.488,50.6976
YDR149C,0.757789,0.187021,0.18736,0.477921,0.0,0.499962,0.0,0.374878,0.286433,0.0,0.412249,0.0,1.02086,0.435301,0.0,0.607321,0.0,0.704825,0.0,0.200447,0.192256,0.168491,0.0,0.0
RTC1,18.7197,17.3663,17.8987,20.4308,19.7396,17.6714,16.1532,16.2608,13.8807,14.7399,13.7224,17.6064,14.1285,12.3448,15.121,16.3187,17.6858,16.6853,16.2722,14.0606,13.5719,16.7063,14.1222,16.7595
SRO9,17.2033,15.4188,11.1855,12.1312,8.63804,16.0902,15.4927,15.1975,20.7571,14.425,20.3604,15.2391,15.7114,17.5297,16.542,17.1248,24.9238,18.5055,20.4532,20.085,16.8561,20.5817,25.9984,17.8813
TOG1,12.1257,11.2776,7.74025,12.4506,10.1921,10.831,9.54698,10.7876,8.25008,10.4965,7.78755,6.5966,8.70422,9.76751,9.49845,9.57293,10.1249,12.8967,12.967,10.3835,9.27693,10.1329,8.00238,11.3716
DOP1,65.0952,55.0943,52.702,66.1272,62.3364,62.2352,55.9676,59.1973,53.599,51.1039,53.5892,67.5942,49.2815,50.3028,55.6507,57.2568,60.0748,45.4375,52.1258,45.4661,57.4341,47.7468,46.1759,56.7789
MRX16,24.8431,22.0272,25.5635,32.943,34.5865,19.5981,27.7716,27.9315,23.7547,21.3223,19.3675,32.9607,20.6906,25.0062,21.1821,26.8755,27.9309,24.9633,29.3031,21.459,29.7679,22.84,25.2636,26.318
ECM18,16.0747,16.2941,19.1868,20.114,22.9965,17.6069,19.1699,22.3449,14.9476,19.1243,13.3996,25.9458,15.9614,16.3517,25.9209,19.5829,18.8209,15.1704,18.6246,15.0456,10.794,15.5274,16.1669,20.8546
YMC2,44.8871,45.402,36.1389,35.3444,27.5128,46.3244,34.0068,49.4401,37.9387,40.3449,33.7844,57.4144,41.0729,42.6652,43.0739,42.238,64.7761,64.1085,55.9789,53.9262,44.0331,52.672,53.8804,54.2449
PGA1,65.9441,100.296,65.7919,65.458,66.8529,43.0887,52.9062,48.574,48.151,30.4126,47.3469,49.9779,45.6741,46.5404,64.0374,49.2889,75.7349,63.9246,56.5441,52.7593,37.2375,44.7577,51.6636,55.0888
FPR3,152.187,228.205,165.438,193.534,169.987,199.182,190.219,193.707,214.905,184.069,182.509,177.769,189.311,227.354,235.448,200.896,152.456,187.035,186.459,204.169,179.307,303.096,238.634,172.428
ERG20,462.166,713.929,590.339,430.971,350.325,566.66,527.236,433.306,732.91,456.177,586.466,418.0,410.018,770.104,785.322,757.541,794.701,719.543,745.056,961.844,941.769,948.027,1086.78,1057.89
CWC23,23.6341,26.3603,21.943,21.5167,34.9574,24.0552,23.6717,19.691,32.0498,20.4158,19.1844,20.9875,25.9436,20.6754,31.588,28.9721,26.0484,19.1343,24.9735,20.778,21.6718,13.3428,15.3211,21.1816
DUO1,35.8762,40.7307,33.2449,64.8645,28.3103,35.8747,41.8946,43.8916,26.8219,32.0443,33.0355,28.1983,42.9034,26.6158,44.8598,34.8717,41.0622,38.1069,42.6478,30.0379,40.263,35.7933,35.2796,40.8466
VBA4,97.0084,96.5602,98.2788,96.4039,90.5577,105.369,84.0647,114.558,75.0128,108.477,100.616,136.821,79.6155,86.7124,92.6959,80.8096,116.054,102.003,130.343,122.416,137.421,130.105,123.527,123.928
YML122C,4.36335,1.66026,1.37862,1.01063,2.0521,0.759063,1.75101,0.696553,2.32756,0.49673,1.95741,1.81914,0.23374,1.40265,1.45372,1.90493,0.21443,0.915167,1.12695,2.30523,4.55543,0.863723,1.67066,1.20408
MRX14,94.1916,122.474,151.616,70.3383,150.547,122.127,103.625,130.982,162.552,170.575,165.669,160.898,148.832,207.429,158.506,154.887,192.996,128.299,199.774,161.546,104.599,185.388,120.702,117.707
MRP20,39.3661,77.1039,89.5981,38.7092,113.668,107.993,42.1441,65.1942,69.9973,47.2531,102.808,58.1804,88.4402,60.2506,27.5179,67.8615,84.8828,145.084,109.873,76.406,58.8853,36.3729,120.705,111.676
DPI35,103.827,114.003,108.135,98.3039,127.662,77.4458,63.2976,103.127,76.0619,77.4878,81.9616,128.044,91.8443,77.0938,80.9403,109.204,113.484,77.0015,100.83,78.6375,84.6077,87.208,78.6962,97.6484
ALT2,33.2844,41.267,35.6392,27.5923,25.2117,36.6618,20.7955,28.1283,32.9285,34.8252,28.0028,26.3083,25.8533,35.4176,32.9601,36.505,31.8452,31.7694,37.2303,32.7036,32.6724,19.3321,38.2291,30.9539
MAL11,66.8093,66.9397,44.2189,63.9668,68.6287,69.8038,49.7522,49.3067,49.8633,56.0672,46.1358,47.0132,60.5905,54.4926,52.481,64.0635,63.1407,68.3116,56.1549,54.4385,46.2438,48.8296,54.672,64.8033
PXP2,72.2335,77.6381,51.9687,59.424,52.1185,55.2354,49.8898,52.0083,45.2612,53.8291,53.6808,40.103,63.8213,49.4298,61.6564,52.1707,71.5972,69.61,48.1583,56.1504,55.6684,34.5976,37.5418,49.0223
LOT6,52.2032,35.5032,46.3613,84.5057,53.9291,68.6251,45.8284,55.9826,48.4037,60.9765,52.9755,78.4926,46.9108,54.0022,37.2231,38.464,32.1358,58.4028,63.3019,33.0559,36.6928,60.7946,50.1662,52.6597
NRG2,76.0415,90.047,80.7694,60.3715,66.1838,70.0021,79.0592,73.0382,52.3114,69.1671,65.5603,69.6952,67.0524,71.2317,77.3996,80.5807,77.5214,95.9037,90.1426,91.6587,78.8209,80.975,88.8491,78.8587
PML1,62.233,33.6721,52.1361,63.8485,61.6079,44.9423,42.0524,45.0483,36.9969,33.8087,41.9751,69.6857,45.6118,35.5849,50.2714,49.0363,55.3177,41.6061,69.606,47.4101,45.4267,53.0837,37.8668,54.3809
FOL3,41.5198,35.902,60.3947,54.6433,49.7095,57.8353,46.7774,55.04,41.3289,47.56,55.006,49.637,59.0636,40.1474,47.4941,43.0951,51.8261,44.0949,62.2128,47.4433,63.3185,44.7516,41.7478,54.1515
GRE2,29.3699,26.4852,31.3221,22.184,23.0702,30.7042,20.796,19.2482,23.7869,24.2362,26.9847,25.4522,25.1,22.0015,17.7044,31.5268,27.661,23.8461,34.7083,28.1668,24.5174,29.0353,24.2258,28.017
ABM1,18.6428,11.5669,13.0081,10.7646,18.3949,13.7205,11.5041,20.4169,13.9035,14.597,15.2367,12.7158,22.5056,16.5701,11.6708,18.4962,16.1981,15.7921,14.1452,15.8784,8.60922,10.5326,10.9612,15.8056
ADE16,343.26,255.285,352.833,317.771,434.81,346.788,352.557,340.406,328.478,338.083,335.375,331.926,235.056,391.855,416.984,409.843,310.134,299.502,317.053,296.233,380.702,363.533,316.826,402.999
YGL193C,52.4073,50.3869,19.9922,75.3421,49.4428,86.9287,35.3199,39.5041,19.7457,70.2555,43.1201,32.6201,34.7652,63.188,43.15,57.6304,64.908,82.6296,68.1924,78.8445,46.4502,65.1577,49.0591,63.7273
RSC58,78.2419,79.4225,71.3654,113.268,68.9729,92.2823,78.3235,91.2018,68.2952,61.9796,69.278,110.565,77.8812,75.5041,89.5083,66.9842,98.803,78.515,88.7931,77.8048,86.4613,92.2498,92.745,99.5198
RTC5,63.6121,80.9792,66.2944,70.484,80.8078,77.1693,58.8427,56.378,58.5351,65.2886,59.9176,82.9003,61.8487,61.6604,64.3974,74.524,51.7188,56.8545,66.0097,59.0354,61.8465,60.5896,57.8046,70.0718
GNA1,127.895,148.682,115.906,114.089,165.336,135.557,116.883,78.1157,109.604,107.494,117.705,155.935,147.304,91.5529,119.363,106.0,107.698,131.363,115.809,92.2164,102.643,130.312,119.776,130.371
EMC6,334.296,246.975,295.501,232.563,258.783,225.361,305.866,264.56,255.226,286.23,416.579,353.547,381.853,224.86,244.596,264.647,300.429,185.311,195.136,217.278,151.943,226.654,410.697,325.121
HSP12,1534.74,1879.78,1332.93,1094.04,1325.4,678.391,954.829,1061.79,1352.13,799.381,922.755,829.2,1257.63,1102.16,946.181,859.632,749.941,897.555,752.847,500.271,974.825,660.838,540.55,449.925
SPR1,3.23555,4.40514,4.39833,4.40802,3.32687,3.94237,2.59903,5.26785,2.29582,2.26517,3.33267,5.45212,2.13622,2.28755,3.11644,3.15853,4.17183,3.79055,3.08353,2.06954,3.21856,3.22844,2.89828,3.34772
CLB3,49.7466,57.1391,49.5586,63.9421,52.1785,70.9362,60.5025,52.944,47.5368,50.1723,49.8574,50.7563,62.5778,62.1442,69.3784,67.5364,62.0017,63.8236,79.272,57.4429,67.0697,63.7828,55.8013,64.6889
BLM10,31.5836,28.6022,29.7966,36.3018,31.5878,30.9057,27.9765,33.9702,27.3823,27.1108,23.6378,30.1758,28.8287,27.1904,29.7519,29.7489,32.5345,31.2398,32.7428,30.2543,27.89,33.8054,31.2884,32.9524
OCA1,83.6524,74.9893,76.4665,73.3713,111.764,99.5505,85.1368,70.4321,92.017,84.4275,81.1154,76.6207,75.0378,70.3853,81.4647,87.5346,60.2287,95.6664,75.4012,90.6421,84.2223,90.8042,106.223,68.6561
HAA1,99.421,87.6542,80.0903,131.488,121.204,97.8782,87.0434,100.044,99.8768,96.3888,92.7262,72.1241,96.7671,80.1571,93.7908,101.122,108.667,111.465,86.8812,71.5988,83.4523,92.0949,89.3295,98.4672
TRS130,53.4841,39.9935,51.0083,52.9688,47.8955,51.6249,44.2315,48.3158,39.7806,43.0713,41.6545,58.9073,47.8163,45.7216,46.6684,41.6157,51.3886,44.0125,49.618,39.4938,55.1138,41.6095,40.3718,55.8572
RCK1,2.50483,2.90717,1.93487,3.14628,1.81415,2.83777,1.93229,2.23823,1.88013,1.40873,1.74944,1.81415,3.13273,1.69032,2.02691,2.20878,2.24026,1.91143,2.562,2.59434,1.87342,2.19067,1.25953,2.85659
RSC9,61.4138,70.9965,63.7193,66.5507,63.1255,69.7828,71.5791,69.2117,65.6231,67.613,64.7913,79.8881,69.3364,54.4965,85.3804,83.8176,87.0074,73.4813,76.6083,68.5261,65.2007,85.5748,69.3618,68.4552
PTP1,47.0694,37.0451,54.8443,36.4244,60.8893,51.0585,40.164,41.2851,35.4596,54.5579,42.8133,37.793,44.3769,37.6498,41.7357,37.0296,52.8365,54.0801,41.652,47.4478,32.2124,33.0668,35.852,50.0826
SPG3,74.5818,69.2381,170.642,77.6371,88.9467,93.6161,67.9643,129.565,85.0404,103.438,91.5152,127.293,93.913,68.2507,72.4442,94.074,108.816,87.6158,81.5247,118.102,132.625,121.077,105.78,203.346
PGA3,99.0953,97.301,89.1059,94.5588,87.7601,83.4162,95.6866,93.438,85.4677,111.68,129.129,94.5044,84.7459,104.457,112.324,99.2185,114.675,135.164,115.256,139.989,105.944,91.2946,147.039,87.2992
HER2,27.9491,40.9419,35.304,23.4786,34.3932,31.5572,29.3316,39.1415,28.8609,38.8195,33.3145,37.6135,36.7926,41.1621,39.6893,46.7241,36.7438,39.0063,44.6239,41.2438,43.9235,37.0757,47.0115,35.5025
TUB3,156.611,159.958,169.973,187.396,171.165,178.526,176.807,193.148,167.558,185.398,150.408,148.791,154.089,149.351,179.114,132.574,179.009,163.361,169.586,155.008,162.639,151.573,157.303,169.371
RER2,73.1526,66.4566,64.8596,95.034,62.8964,88.7865,68.4729,54.8076,59.2946,110.285,63.1905,108.637,87.7971,79.7405,89.5976,87.0026,105.082,119.581,121.796,93.6349,92.3936,106.769,91.4037,113.266
VAN1,101.126,90.3706,99.0838,104.853,122.763,101.107,85.1096,101.457,98.5334,100.101,99.7849,98.7389,104.298,101.787,114.77,90.6522,123.287,79.9229,90.4332,99.3544,121.367,92.3228,87.175,110.307
FAA1,302.068,252.976,289.535,254.918,340.519,312.347,236.2,233.84,257.955,212.89,251.726,192.396,271.026,241.001,245.289,313.31,216.187,295.238,226.23,245.372,376.642,233.619,344.58,396.007
UBR1,55.6533,41.0198,54.848,59.3494,57.3558,61.313,52.4795,53.8602,48.1287,46.8027,48.1119,59.3265,52.5545,49.1885,49.6412,48.8958,54.7792,44.0062,51.4496,43.2921,50.3779,54.33,39.1961,49.6834
MDM1,36.6299,27.0925,29.7729,34.5307,26.7298,27.4004,29.5227,35.4641,28.8051,25.8619,24.8833,37.2613,31.5745,28.0725,29.9463,31.1658,34.0619,27.8339,28.052,22.2117,34.6991,30.181,23.6015,28.4719
OCT1,19.9581,17.6427,16.0753,23.4992,17.428,16.3076,13.5344,21.4922,17.1553,18.8541,18.8799,19.3887,18.1248,15.4337,18.9917,16.5186,24.653,22.4402,19.5501,19.4837,18.5293,17.6512,20.7569,21.7383
CUE4,88.6614,82.1153,116.915,127.879,132.786,102.402,91.9466,64.3446,42.1773,87.8309,72.8684,135.556,79.6199,63.3237,78.764,52.9325,51.2781,103.621,116.468,122.785,107.527,96.0993,86.6994,47.3577
PXR1,54.4383,68.3336,57.1218,74.7578,46.5164,67.9587,47.5832,49.2327,44.5523,57.5484,42.835,61.57,53.6546,74.3148,80.4828,82.6412,55.513,95.0417,72.7963,92.0164,78.1347,83.9857,88.947,94.871
ARG81,29.2836,30.0233,29.8466,34.4656,28.1214,33.7234,26.3107,26.6921,24.5253,28.9036,25.1683,25.5668,23.1831,23.5871,30.6147,25.5477,28.6799,27.1017,27.0147,25.4323,27.7688,26.7659,20.9759,31.2369
TFG2,142.684,118.972,121.002,127.469,153.789,127.068,131.56,124.437,104.587,119.94,117.013,147.491,142.65,122.691,163.324,121.349,138.76,111.866,105.144,99.403,111.586,147.69,117.042,134.823
LEU1,304.07,328.739,372.809,367.215,341.257,351.562,323.177,338.128,276.931,314.59,348.169,353.976,331.697,397.154,358.952,349.921,392.578,434.694,454.237,509.972,387.848,368.583,406.984,377.296
ERG25,743.795,549.438,463.959,454.777,570.413,638.078,705.767,622.843,650.128,491.284,627.256,336.714,505.245,585.449,594.477,662.273,781.884,879.662,763.117,822.188,958.478,1321.9,1287.72,1622.1
