Name,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
ASP3-4,515.565,645.833,479.309,634.513,580.392,539.044,517.417,512.506,455.869,543.419,456.752,445.398,561.387,512.817,452.672,486.964,552.623,554.379,578.379,449.89,530.58,489.781,607.127,547.561
RPL1A,5291.88,3702.69,4669.05,3291.18,4622.67,4478.95,4443.86,4352.75,6791.11,5335.38,7122.69,6468.98,5489.05,5245.47,6760.99,4926.08,4990.87,5399.36,5631.14,6685.69,4954.93,9144.58,5934.41,6300.34
ERR1,19.6166,25.0961,20.9219,34.2047,24.2838,28.8453,15.3072,15.0891,15.6938,25.0344,20.7409,14.5944,16.789,15.1509,19.7245,17.7307,14.5193,18.4473,13.8488,11.9257,17.6206,16.7124,13.0499,14.1397
DDE1,86.9712,71.7527,76.8808,94.2848,86.0986,87.1615,71.9913,95.9163,76.1099,74.6587,72.6177,104.707,37.3388,72.3912,85.2044,70.7585,83.0027,78.998,82.763,62.3009,78.383,79.6003,71.8106,76.7491
INM1,145.642,126.201,102.356,201.054,184.009,165.237,150.411,211.574,164.573,126.964,169.07,174.178,129.491,101.102,122.414,129.432,117.648,106.044,140.078,92.6599,116.223,95.9232,106.522,104.613
AAP1,141.244,138.492,157.095,150.008,118.128,150.796,166.04,156.373,139.777,118.199,123.739,111.456,151.776,132.362,143.051,152.913,145.583,147.663,165.954,141.845,150.351,163.113,172.232,175.06
YHK8,8.44824,9.06655,8.75091,5.29021,6.64756,8.57661,6.69841,4.6373,6.98748,7.47003,9.94436,10.4441,4.14736,4.03664,6.86052,7.03697,6.77618,8.02415,8.03816,7.06417,3.45292,3.49601,4.08499,4.54664
FSH1,116.766,121.368,116.086,129.567,103.18,128.675,116.425,120.525,126.128,122.608,85.7469,147.738,85.0219,157.201,126.092,123.751,152.717,202.043,166.611,165.065,163.407,174.121,180.938,158.937
SMF2,73.1738,73.2801,65.8294,73.5384,77.381,77.0613,65.5556,70.7506,51.8931,53.2474,74.7643,67.1532,67.3132,62.9147,65.4515,62.5158,55.7948,96.6762,73.9193,80.548,55.2158,77.7465,76.5142,86.2573
YHR054C,108.942,92.3459,167.733,164.377,79.1214,103.686,93.8814,112.062,68.7157,59.7618,40.2732,183.603,85.9843,86.5666,89.0576,88.1348,161.297,99.8143,78.0848,93.1995,171.253,112.257,98.8091,157.325
VMA22,63.9394,68.2815,73.9602,118.424,68.8467,85.2307,51.2917,70.4358,83.9057,58.4473,65.6236,98.8562,69.7886,76.1578,71.3681,82.6842,81.7069,59.485,71.5377,63.3241,75.3903,83.6952,71.4923,69.5211
GIC1,13.4764,19.1817,13.9655,21.0346,13.5542,16.1404,16.9223,15.8464,12.6892,15.5738,20.5418,16.2061,13.9759,12.6311,17.9535,22.4467,20.598,29.9366,25.2855,26.2322,17.563,27.8504,19.9382,21.9447
RPP1,37.6379,65.7628,39.8095,32.3457,55.1191,52.8247,30.8577,34.3728,36.5073,42.6772,45.0569,32.6743,43.8079,31.6286,40.9502,54.6795,57.1091,55.3284,64.9938,62.4372,45.3728,65.2399,48.1347,70.064
RRP3,62.8439,53.5237,60.4021,33.5912,56.3745,68.5213,54.9436,63.0097,54.1768,64.6608,61.406,55.5818,68.8042,58.8243,58.7369,61.5518,68.1891,63.0805,69.2172,71.0,57.1469,67.0244,72.7387,69.0564
YLR161W,21.0196,27.9984,26.3929,22.6453,38.2442,34.4706,14.8081,12.0518,21.4209,33.1641,26.0138,11.1641,22.8302,32.5222,25.6192,33.6741,32.022,35.3363,24.1925,21.3771,33.1699,17.492,20.816,20.613
SNZ2,18.2253,20.9256,16.1783,16.2393,14.1872,15.1171,20.2659,10.3788,12.3616,14.8612,21.1011,14.5985,14.0726,16.3018,11.8414,14.2256,15.368,16.53,22.9006,15.7314,19.0877,13.9011,18.3749,11.5728
DDI2,12.3018,16.829,22.0734,11.254,13.7808,15.4217,18.1522,13.7554,14.3617,23.7945,20.61,7.98504,21.0066,17.9159,15.833,17.5974,21.1262,16.179,12.3364,13.4322,14.721,10.6869,12.084,13.442
YPL278C,69.2169,35.8469,60.3903,90.5347,61.0483,49.2421,48.538,50.0647,54.9823,35.6123,73.3475,55.6811,65.9132,91.6315,76.5093,73.4935,65.3388,60.0472,52.6207,56.7589,67.6607,55.3003,53.2684,59.5289
MPH3,12.9643,10.5698,6.63119,11.3035,11.6387,10.0764,10.4668,8.38963,9.81327,10.3999,9.1504,13.3917,8.73037,6.61089,9.65209,8.79944,10.0853,9.01617,10.5209,8.78556,10.6655,8.7037,6.95413,8.31537
SOR1,13.6449,17.4892,16.4485,18.8641,13.8602,14.7613,12.1755,12.7605,11.859,16.417,15.1765,13.0462,14.5151,13.2165,13.4835,14.6437,10.9625,15.8524,12.4341,17.5161,13.1834,14.2197,8.45508,16.861
ARD1,131.123,128.86,140.561,148.404,164.918,167.965,78.1787,158.294,157.448,136.27,163.359,138.899,167.026,131.117,144.464,170.589,174.695,188.293,164.838,138.442,133.91,164.759,147.815,172.305
VPS29,102.838,110.954,97.2713,164.748,139.702,153.99,90.1349,111.761,87.1905,96.5283,107.799,131.759,122.908,118.773,118.57,116.104,114.872,96.6912,103.191,80.9262,113.825,112.513,50.992,101.571
DIA4,36.5845,38.9705,41.2783,40.7242,38.5064,41.5949,24.2949,34.4248,30.9328,39.7719,36.6785,34.1804,41.3654,30.4424,41.0355,39.7861,51.7795,36.8436,36.3571,40.0139,34.022,44.4305,31.1324,36.5453
TDA3,173.817,188.015,194.065,205.498,174.263,253.091,195.431,173.795,180.458,184.483,229.88,154.037,222.269,198.062,240.083,194.328,204.716,212.668,211.545,147.282,204.119,209.449,168.213,196.734
SOD2,287.393,310.648,248.995,365.782,305.04,271.352,279.937,315.392,260.675,272.51,358.908,249.586,263.781,292.728,238.084,338.748,346.278,400.037,302.719,235.665,259.167,385.724,300.925,398.966
STP2,69.385,86.7474,82.6521,83.5117,79.0049,72.8582,71.4675,77.9943,65.4624,64.6597,50.4926,63.2328,85.788,74.8705,75.5379,75.6304,89.4073,72.9282,74.2402,72.4702,65.5206,73.6179,59.4847,93.9035
GLC7,670.11,667.866,611.526,650.745,681.614,746.801,465.146,448.908,585.251,488.243,621.34,714.273,663.352,588.142,598.355,477.561,538.161,636.606,398.324,523.839,625.977,670.55,562.287,565.889
MLO1,159.709,76.2646,149.85,141.84,190.73,152.541,118.907,120.799,96.9985,95.5246,100.614,112.325,166.559,88.7794,108.965,161.695,116.586,96.9719,79.0016,97.3644,96.1665,120.511,81.8105,126.085
MST28,64.3791,51.3293,58.8087,58.6923,74.6997,67.4585,62.5999,41.7061,41.1762,46.8738,53.7128,49.5439,48.7028,24.1563,34.989,57.0836,48.1024,56.3475,40.9395,23.0798,61.0751,47.5562,34.2858,30.0688
ROY1,151.318,145.99,100.779,138.241,125.37,112.432,114.123,128.107,110.445,101.403,114.872,156.345,149.93,97.77,112.517,106.487,113.471,91.2921,112.186,80.3006,116.48,100.243,101.517,100.111
TIF11,1061.09,688.964,905.344,906.444,811.636,1034.67,817.931,1056.38,815.168,769.76,730.701,1444.43,1011.05,1143.68,1132.04,800.682,852.793,1058.95,969.538,1152.13,998.166,1099.91,1497.85,822.686
YMR262W,67.6672,62.0274,60.8583,74.9054,53.0938,69.0503,72.4794,50.321,49.5703,57.0491,39.9228,56.2406,60.2955,65.3183,63.6996,65.698,68.6249,59.1539,60.1143,54.9121,71.8209,57.9455,67.5924,63.2238
SAP30,37.6097,45.3239,59.0543,44.921,43.4921,34.2984,38.5083,42.3351,31.8609,21.349,32.9531,53.9596,40.6248,35.5552,40.7508,38.3019,52.9063,47.4818,51.2624,44.9849,34.6295,28.0474,25.2727,32.4095
YMR265C,23.2787,23.2473,21.8695,20.6197,26.7685,23.4936,25.8717,19.5047,14.8632,14.1969,23.8807,19.8726,21.1783,19.8813,19.0673,22.0782,22.3387,22.7747,16.056,18.5408,16.95,20.5446,21.7413,25.3837
TMA23,27.3513,33.88,24.6677,28.7652,20.8698,33.8705,25.8236,25.4864,24.3201,31.1679,22.3236,30.5928,18.3804,24.1318,34.7533,39.6048,26.4258,24.8403,34.8227,31.6961,25.9039,39.4057,39.5816,25.0991
RRN9,54.2656,49.6893,50.6892,57.6221,51.3081,53.8748,52.6717,61.3472,50.9398,46.8109,49.1271,73.9187,39.4022,45.1283,57.2267,56.1668,61.3517,61.4858,56.9017,44.8268,55.6607,54.4676,52.4151,44.737
ASA1,37.0036,38.0282,35.1489,48.1127,36.5526,30.0074,41.0518,33.7392,30.6516,39.4844,32.619,35.923,41.7804,27.7825,48.8798,30.5222,49.4792,36.1701,32.8133,37.5141,34.1023,34.1861,30.4622,42.0956
SUA7,173.688,171.176,153.938,190.452,193.826,245.337,184.064,189.1,154.455,196.639,167.72,186.279,200.71,153.904,162.005,166.011,164.059,136.649,222.339,197.758,135.355,165.117,203.059,204.203
NVJ2,80.9949,72.8389,73.9994,90.7189,103.39,79.3292,86.1578,81.1823,80.6161,91.703,73.4103,63.2333,87.9303,69.3577,67.5029,83.338,103.244,71.9759,71.3391,65.9552,60.6428,72.6918,69.6932,76.4133
ASR1,22.582,22.1639,24.04,23.9612,16.3242,19.0654,22.0155,18.3557,15.8875,22.4863,20.3714,20.9358,20.0444,22.5804,26.3611,20.2688,23.0325,31.2523,24.0379,20.5844,12.0341,19.721,14.4685,20.0335
RDS3,96.3529,95.0882,83.2666,70.7913,114.127,81.276,72.9081,105.286,46.0127,49.2586,105.19,86.6304,88.6414,75.1121,91.5826,81.3889,98.0796,85.5213,102.874,87.9621,135.685,140.869,184.43,94.8841
SYT1,28.098,27.804,34.2362,34.5839,31.6065,33.2113,28.664,31.8462,21.5933,26.0579,26.3707,25.903,26.1922,28.2214,26.1749,28.2902,38.7294,34.0111,31.3145,23.9842,29.6356,35.06,23.2848,29.2143
YPR096C,17.1915,7.49641,11.2534,8.92587,3.00911,18.1231,5.09797,6.67058,14.5595,5.95841,12.4686,6.93518,1.62922,8.11886,8.33885,9.77714,10.4213,6.35315,8.7131,6.01942,5.23809,3.86758,7.23478,5.71129
MRPL51,229.397,334.03,217.389,247.132,275.881,268.118,176.761,241.797,171.316,203.641,223.064,395.37,364.981,234.251,214.132,184.736,302.821,259.444,292.858,222.715,279.133,338.005,414.372,252.125
SNT309,119.556,70.3965,122.284,103.592,97.2664,106.126,78.4279,94.396,103.151,103.348,86.4841,191.895,104.275,89.9557,92.459,107.285,95.0884,103.171,86.8433,87.6478,45.004,128.018,85.2018,93.9952
RPL11A,2403.2,2584.3,2786.48,2203.87,1558.36,2008.58,2396.29,3117.65,2998.52,3340.67,2886.94,3800.74,1733.39,3171.79,2598.36,3449.43,2721.4,2408.09,2464.48,3591.76,2123.55,3753.8,4343.2,3413.85
