,1,2,3,4,5,6,7,8,9,10,11,12
A,0.840,0.040,0.040,0.040,0.039,0.041,0.039,0.041,0.041,0.041,0.041,0.041
B,0.866,0.040,0.040,0.040,0.040,0.040,0.040,0.041,0.041,0.042,0.041,0.040
C,0.866,0.040,0.039,0.040,0.040,0.040,0.041,0.041,0.042,0.042,0.041,0.041
D,0.865,0.041,0.040,0.040,0.039,0.038,0.041,0.041,0.041,0.041,0.041,0.040
E,0.873,0.040,0.043,0.040,0.039,0.040,0.042,0.044,0.041,0.042,0.041,0.040
F,0.872,0.040,0.040,0.040,0.041,0.041,0.041,0.042,0.046,0.042,0.040,0.041
G,0.863,0.040,0.041,0.040,0.040,0.040,0.042,0.042,0.041,0.040,0.042,0.041
H,0.924,0.041,0.040,0.040,0.040,0.041,0.041,0.042,0.041,0.041,0.040,0.042
