name,biorep,speed,techrep,neighbour
C4,1,290,1,8
D4,1,210,1,8
E4,1,130,1,8
F4,1,50,1,8
C5,2,290,1,8
D5,2,210,1,8
E5,2,130,1,8
F5,2,50,1,8
C6,1,290,2,8
D6,1,210,2,8
E6,1,130,2,8
F6,1,50,2,8
C7,2,290,2,8
D7,2,210,2,8
E7,2,130,2,8
F7,2,50,2,8
C8,1,290,3,8
D8,1,210,3,8
E8,1,130,3,8
F8,1,50,3,8
C9,2,290,3,8
D9,2,210,3,8
E9,2,130,3,8
F9,2,50,3,8
