"","Barcode","Row","Column","Col","ScreenID","Treatment","Medium","ORF","Screen.Name","Library.Name","MasterPlate.Number","Timeseries.order","Inoc.Time","TileX","TileY","XOffset","YOffset","Threshold","EdgeLength","EdgePixels","RepQuad","K","r","g","v","objval","tshift","t0","d0","nAUC","nSTP","nr","nr_t","maxslp","maxslp_t","Gene","Model","TimeFormat","Normalization","AUCLim","MDP","MDR","MDRMDP","DT","AUC","glog_maxslp"
"1","QFA1705484730",1,1,1,"","UNKNOWN","UNKNOWN","EDGE_1","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0737532837194831,0.453173819550918,0.00235578744986889,0.172301141496561,0.000189540643706118,2.83333333333333,0,0.00209195595854399,3.38268929864866,0.0322079889126611,0.212741861265187,12.1838533853385,0.0031451174280217,12.3278705648343,"EDGE_1","Glog","h","Raw",72.0013888888889,4.9684260004654,0.26949624974522,21.3675635625307,89.05504259406,3.22312071880951,0.00195256746499344
"2","QFA1705484730",1,2,2,"","UNKNOWN","UNKNOWN","EDGE_7","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.065793887417644,0.467492436970072,0.00209086966602994,0.176856333345226,0.000155341994384684,2.16666666666667,0,0.00184016527322907,3.12300445623189,0.0306125330327211,0.224055768791587,12.1982551032881,0.00309635086386678,14.4665256803458,"EDGE_7","Glog","h","Raw",72.0013888888889,4.97577851685922,0.283894147682374,22.4623578470686,84.5385514140702,2.96094039131417,0.00184062456581468
"3","QFA1705484730",1,3,3,"","UNKNOWN","UNKNOWN","EDGE_9","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.061606209217215,0.182751632924572,0.00297395957122564,0.578670536317236,0.000192956990586877,3.33333333333333,0,0.00262198836160019,3.07780516882217,0.0311878145487001,0.197479867871664,12.2054559622629,0.00305528991374066,12.3206697058595,"EDGE_9","Glog","h","Raw",72.0013888888889,4.37261882551379,0.207301429266038,16.3824975210702,115.773442011342,2.82407070827875,0.0018748143191128
"4","QFA1705484730",1,4,4,"","UNKNOWN","UNKNOWN","EDGE_11","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0604469627250881,0.444988799499622,0.002315373717709,0.190900567482556,0.000136227395589717,2.33333333333333,0,0.00203904735309626,2.95836744255677,0.0299763618479263,0.214747590518982,12.2126568212377,0.00301903254260744,14.4737265393206,"EDGE_11","Glog","h","Raw",72.0013888888889,4.70635287169874,0.273031129489499,21.5694636070949,87.9020646652054,2.76797385789442,0.00172661070305663
"5","QFA1705484730",1,5,5,"","UNKNOWN","UNKNOWN","EDGE_13","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0632005970252247,0.474339954743326,0.00251772714118073,0.177744328666567,0.000144887555493199,2.5,0,0.00213656716345635,3.11020599921732,0.0317447825754398,0.204507589476322,12.1838533853385,0.00311802924115451,12.3134688468847,"EDGE_13","Glog","h","Raw",72.0013888888889,4.64974434241756,0.272867240667603,21.574053111213,87.9548601777226,2.90009746639467,0.00180226401727218
"6","QFA1705484730",1,6,6,"","UNKNOWN","UNKNOWN","EDGE_15","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0627961761516428,0.491758545332379,0.00239443191915524,0.172698741211527,0.000150949241172072,3.33333333333333,0,0.00210100133420193,3.03795493372663,0.0301965348519333,0.215563645111772,12.2054559622629,0.00303334809031303,14.4737265393206,"EDGE_15","Glog","h","Raw",72.0013888888889,4.71292139059945,0.279959759221727,22.1322251747153,85.7266060905278,2.89173441644785,0.00180787528928592
"7","QFA1705484730",1,7,7,"","UNKNOWN","UNKNOWN","EDGE_17","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0618291896856994,0.41827483319792,0.00246252808208459,0.195995829385457,0.000145039992079928,2.16666666666667,0,0.00211969449582339,2.99688223402033,0.0302141485608156,0.205927578917908,12.2198576802125,0.00306321652994435,14.4881282572702,"EDGE_17","Glog","h","Raw",72.0013888888889,4.65007601627915,0.259093430106494,20.4768363061166,92.6306776290522,2.78050701749883,0.00170052918947698
"8","QFA1705484730",1,8,8,"","UNKNOWN","UNKNOWN","EDGE_19","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0735217680015877,0.393070631639366,0.00189811466894808,0.192840804393641,0.00017693603065025,2.16666666666667,0,0.00165831843958714,3.22196833221792,0.0284152101080011,0.224723207011834,12.2558619750864,0.00311349211044865,14.5529359880433,"EDGE_19","Glog","h","Raw",72.0013888888889,5.27553240376429,0.266839138295928,21.155678689631,89.9418284486578,3.08752991957247,0.0018722979665348
"9","QFA1705484730",2,1,1,"","UNKNOWN","UNKNOWN","EDGE_2","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0640737725590589,0.646965964702012,0.000907262190779811,0.149012249824629,0.000191399922816264,1.83333333333333,0,0.000788897543691528,3.0733655338406,0.0303783460207172,0.288535646415511,10.0740017057261,0.00312382007726375,14.4737265393206,"EDGE_2","Glog","h","Raw",72.0013888888889,6.14207058913939,0.411397736922871,32.5350115875587,58.3377054514511,3.03163544261641,0.00211655151400065
"10","QFA1705484730",2,2,2,"","UNKNOWN","UNKNOWN","SAMPLE_1","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0561917490502798,0.75077687293487,0.00115179342455878,0.145992064657485,0.000154109828777599,2.83333333333333,0,0.000992258760839363,2.88466084960429,0.0309083821848828,0.273544064306463,10.0740017057261,0.00317993647027184,12.3206697058595,"SAMPLE_1","Glog","h","Raw",72.0013888888889,5.6084044108703,0.436124744602069,34.4079328458958,55.0301268090124,2.85488000128018,0.00211327272489243
