RowName,ColumnName,Value
S01,S01,1
S01,S02,0.9994267930104415
S01,S03,0.9996173579074716
S01,S04,0.9985505863325314
S01,S05,0.9980462297847413
S01,S06,0.9994048554582761
S01,S07,0.999038372721855
S01,S08,0.9986685664164426
S01,S09,0.9992675907183948
S01,S10,0.998400340410873
S01,S11,0.9978261999436331
S01,S12,0.9944573161539348
S01,S13,0.9986374186935445
S01,S14,0.9971111047268796
S01,S15,0.9977862669514316
S01,S16,0.9969864093454678
S01,S17,0.9942541485350013
S01,S18,0.9894817075488647
S01,S19,0.9846591072916604
S01,S20,0.9652044934469532
S01,S21,0.9930193727769401
S01,S22,0.9882688954929196
S01,S23,0.9856578122771317
S01,S24,0.9819661405501654
S02,S01,0.9994267930104415
S02,S02,1
S02,S03,0.9993007447930027
S02,S04,0.9987096964289943
S02,S05,0.997675300360137
S02,S06,0.9993536914565048
S02,S07,0.999326791268098
S02,S08,0.9989828144989769
S02,S09,0.9986790798928706
S02,S10,0.9990011300989076
S02,S11,0.9978551349834729
S02,S12,0.9954255004681705
S02,S13,0.998867962240955
S02,S14,0.9983017502940242
S02,S15,0.9985213847694611
S02,S16,0.9975057841254527
S02,S17,0.9951844706021329
S02,S18,0.9913927864564416
S02,S19,0.987261298344228
S02,S20,0.9687193351952629
S02,S21,0.9939780374119253
S02,S22,0.9897748573343421
S02,S23,0.9871032747408838
S02,S24,0.9834353400218251
S03,S01,0.9996173579074716
S03,S02,0.9993007447930027
S03,S03,1
S03,S04,0.9992317354538651
S03,S05,0.9986361708702518
S03,S06,0.9996026255223733
S03,S07,0.9994127876972648
S03,S08,0.9989581798601135
S03,S09,0.9993699298971147
S03,S10,0.9986275339920155
S03,S11,0.9976927707479589
S03,S12,0.9952213781565057
S03,S13,0.998700643713752
S03,S14,0.996813355779547
S03,S15,0.9975396018039505
S03,S16,0.9962581786788349
S03,S17,0.9932054715466682
S03,S18,0.9880929766540925
S03,S19,0.9829616166383094
S03,S20,0.9624552250891436
S03,S21,0.9913446346012232
S03,S22,0.9859484865864276
S03,S23,0.9828532268931005
S03,S24,0.9785888534490025
S04,S01,0.9985505863325314
S04,S02,0.9987096964289943
S04,S03,0.9992317354538651
S04,S04,1
S04,S05,0.9988355157873431
S04,S06,0.999413601612267
S04,S07,0.9995185662806291
S04,S08,0.9990011935946559
S04,S09,0.9990151818861336
S04,S10,0.9986861056380655
S04,S11,0.996836421025641
S04,S12,0.9954800164218818
S04,S13,0.9986618656535344
S04,S14,0.9966436537146008
S04,S15,0.9971870502169381
S04,S16,0.9952774125929712
S04,S17,0.9924713785697376
S04,S18,0.9870331673534368
S04,S19,0.9819867255782445
S04,S20,0.9604961505095518
S04,S21,0.9905494133178484
S04,S22,0.9849025818640841
S04,S23,0.9815244689013598
S04,S24,0.9767656670384199
