sample_1,sample_2,PCC,pair_speed_type,pair_biorep_type
S15,S19,0.9925659185797722,same,different
S16,S19,0.9942571685997887,different,different
S17,S19,0.9967989421753572,different,same
S18,S19,0.9993737192698373,different,same
S01,S20,0.9652044934469532,different,same
S02,S20,0.9687193351952629,different,same
S03,S20,0.9624552250891436,different,same
S04,S20,0.9604961505095518,same,same
S05,S20,0.9528346845795433,different,different
S06,S20,0.9620843947153622,different,different
S07,S20,0.9645185320284829,different,different
S08,S20,0.9669965625765994,same,different
S09,S20,0.9630872084803074,different,same
S10,S20,0.9716313624132314,different,same
S11,S20,0.9736797868652215,different,same
S12,S20,0.9649200147756877,same,same
S13,S20,0.9682718691240647,different,different
S14,S20,0.9778112256186935,different,different
S15,S20,0.9769075910757752,different,different
S16,S20,0.9804021590910189,same,different
S17,S20,0.9854280692445313,different,same
S18,S20,0.9919225609647787,different,same
S19,S20,0.9948886896154497,different,same
S01,S21,0.9930193727769401,same,different
S02,S21,0.9939780374119253,different,different
S03,S21,0.9913446346012232,different,different
S04,S21,0.9905494133178484,different,different
S05,S21,0.9878358536419218,same,same
S06,S21,0.9921839156781567,different,same
S07,S21,0.9929541244064872,different,same
S08,S21,0.993830851542195,different,same
S09,S21,0.9927279164225511,same,different
S10,S21,0.9948715778996301,different,different
S11,S21,0.9954194083899924,different,different
S12,S21,0.9907300264067498,different,different
S13,S21,0.9949516056782133,same,same
S14,S21,0.9972096115562188,different,same
S15,S21,0.9969949793339029,different,same
S16,S21,0.9978545273783297,different,same
S17,S21,0.9986335980037351,same,different
S18,S21,0.9978622232508843,different,different
S19,S21,0.9964477543534157,different,different
S20,S21,0.9847461976375885,different,different
S01,S22,0.9882688954929196,different,different
S02,S22,0.9897748573343421,same,different
S03,S22,0.9859484865864276,different,different
S04,S22,0.9849025818640841,different,different
S05,S22,0.9811782031186211,different,same
S06,S22,0.9868467305103766,same,same
S07,S22,0.9878908031899325,different,same
S08,S22,0.989150207446543,different,same
S09,S22,0.987431823599519,different,different
S10,S22,0.9908661950666817,same,different
S11,S22,0.991856901193731,different,different
S12,S22,0.9863711416171771,different,different
S13,S22,0.990342699779618,different,same
S14,S22,0.9942827377073503,same,same
S15,S22,0.9938301660691133,different,same
S16,S22,0.9953925968234388,different,same
S17,S22,0.9970638764937073,different,different
S18,S22,0.9981569269579692,same,different
S19,S22,0.9979612260872276,different,different
S20,S22,0.9898195372070168,different,different
S21,S22,0.9990191456958605,different,same
S01,S23,0.9856578122771317,different,different
S02,S23,0.9871032747408838,different,different
S03,S23,0.9828532268931005,same,different
S04,S23,0.9815244689013598,different,different
S05,S23,0.9775158979768035,different,same
S06,S23,0.9837934896374135,different,same
S07,S23,0.9848564886000457,same,same
S08,S23,0.9863318898189708,different,same
S09,S23,0.9845241047536623,different,different
S10,S23,0.98806988696916,different,different
S11,S23,0.989504877566839,same,different
S12,S23,0.9838881519370715,different,different
S13,S23,0.9873854776838212,different,same
S14,S23,0.9918115514067796,different,same
S15,S23,0.9913086425248983,same,same
S16,S23,0.9932803566502983,different,same
S17,S23,0.9950575722596433,different,different
S18,S23,0.9968024900354073,different,different
S19,S23,0.9970290192645955,same,different
S20,S23,0.9899046931063002,different,different
S21,S23,0.9978012110916261,different,same
S22,S23,0.9996083631564936,different,same
S01,S24,0.9819661405501654,different,different
S02,S24,0.9834353400218251,different,different
S03,S24,0.9785888534490025,different,different
S04,S24,0.9767656670384199,same,different
S05,S24,0.972932345112475,different,same
S06,S24,0.9794157934188035,different,same
S07,S24,0.9801548589980192,different,same
