gene_id,130vs50,210vs50,290vs50,BR1vsBR2,logCPM,F,PValue,FDR
MAG1,0.10610460143824293,0.1107801334054065,0.168157455524655,0.12434278157230477,4.467080544156924,3.628174993005624,0.02055284635515909,0.7324206666338366
SWT1,-0.052173869576455166,-0.1335514144553097,-0.11988266612509343,-0.04430993853101286,5.488771382486844,3.6247933029479262,0.020627046872456308,0.7324206666338366
YLR296W,-1.3604128850351935,-2.434466199799128,-1.167289953397043,0.5496186994815812,-2.0420142930050953,3.271378839063018,0.020788130066146517,0.7324206666338366
PTC7,0.10971399019866432,0.06972557236647507,0.15373216136966678,0.061698264437649926,6.24891092686626,3.613084429238353,0.020886465984251503,0.7324206666338366
TMN2,0.10682193632714515,0.07546722991489928,0.07287262072069604,0.1341827748865227,5.499853445753237,3.6107547250201057,0.02093851380691832,0.7324206666338366
RPL2B,-0.028617888425624415,-0.09663760591206536,-0.16210985264953082,-0.08767356895545286,11.482025870863435,3.602560427639557,0.021122629795790625,0.733868664932131
YDR042C,0.1263690966993353,-0.10951650955292563,-3.4539310024861723e-4,-0.33374610461493615,2.2195401540135635,3.586105685090596,0.02150105751937672,0.7340892715687518
CAJ1,0.06396783691230126,0.06259305361537679,0.12049355766756212,0.04071787011552203,7.683524950096195,3.5852308797222068,0.021517797457243127,0.7340892715687518
RPN1,0.0417415391753485,0.050701342929643095,0.11496675159765161,0.038182103931952587,9.465996335571598,3.5835186470357896,0.021557269546262452,0.7340892715687518
SMC2,0.06688218701821451,0.08327380693057182,0.09178919163543701,-0.06838261959750784,6.982640599240676,3.565885189917516,0.021968338168764975,0.7423941891650297
SSK1,-0.10923218530122118,-0.10732812122250532,-0.20396929694511445,-0.022755271267084702,6.664281084258351,3.5607380645484428,0.02208990877912282,0.7423941891650297
MTR10,0.03855202922875395,-0.017309741081834158,-0.001799236029343757,-0.06159624880552035,6.718603349778741,3.550442632768258,0.022335247347622204,0.7446795588155566
INO1,-0.43896266740797085,-0.3775084404702077,-0.5189460513184077,-0.19822834782511212,5.707955120658509,3.5451562764127877,0.022462367899420115,0.7446795588155566
DPB11,-0.049368679860055664,-0.1107284720995209,-0.10739722590307636,-0.07702179910385587,5.468217263126786,3.5363758203980913,0.022675214295004426,0.7446795588155566
PXP3,-0.3975708394096921,0.03246960338184635,1.6806693681276301,-0.6403406120078752,-1.7811225039469307,3.2423002127502687,0.022737201620778368,0.7446795588155566
IPA1,-0.028056048797989366,-0.11169498228211275,-0.12912947298363858,-0.16908519432840044,4.876663167090065,3.522434679069639,0.023017639534041325,0.7453318476369468
RPL12B,-0.07892175344110747,-0.12863969228177619,-0.19788355585306103,-0.10058162575130959,9.850870618988118,3.5161664131599024,0.02317334638120796,0.7453318476369468
MIF2,0.09684401182799546,-0.01568040514675432,0.1513079691558675,-0.023334520097610504,5.24526878478213,3.5154211885288027,0.023191967254358514,0.7453318476369468
ACO1,0.019701537623374434,0.052468177339495436,0.08706425704523743,0.07373398834979265,10.116570576172204,3.5059633361735205,0.023429297657730053,0.7482822891679995
SFP1,-0.08284264315948636,-0.03896048057277038,-0.13988010849712068,-0.030505359395375933,6.673978693162365,3.4924251336812864,0.023773609638812827,0.754591980017133
QDR3,0.04442432329139714,0.020421138542922476,-0.06352355618180361,-0.12948332933891857,6.06399110861695,3.4779156961806854,0.02414865921069332,0.758346844518721
CMP2,0.001363902897169918,0.01163749769252898,0.040535981703223534,0.1090693128762906,7.9155248047730495,3.4764507040548787,0.02418686940899849,0.758346844518721
MCA1,-0.046663165660048016,-0.07496794173187957,9.166846569832607e-5,0.001078051731416145,7.884022005750812,3.459328688925632,0.024638391806355436,0.7605018586325132
VMR1,-0.003960681352309343,-0.011450322679817087,8.348648879687615e-4,-0.11606271861684393,6.497999171752579,3.4592049746679057,0.024641691367726495,0.7605018586325132
SEC27,0.06818258262583171,0.05850641848869728,0.09320208538527255,0.05732200166712347,9.268102622139878,3.4570447063307936,0.024699301904245373,0.7605018586325132
PBP4,-0.060336568869568494,-0.1043635727121212,-0.17142358628425924,-0.026497311737121297,5.576579605224498,3.4500790269241435,0.024886085071282385,0.7616919609317502
SHU2,-0.07621467523112714,-0.09840438480481323,-0.05496492245012151,-0.16968873487336722,3.7011785976577896,3.441912702209,0.02510778926774757,0.7619801988401782
RPS21B,-0.07848274110736453,-0.12492268991970343,-0.171335620949001,-0.08445454870882878,8.755011570379763,3.438793505529365,0.025191877441234987,0.7619801988401782
RRN9,-0.06176385417327513,-0.06456754795319798,-0.11992431164066089,-0.07472351770353952,5.712648387435551,3.4239648636153546,0.025599853695918724,0.7672964090631013
PET18,0.10807122370670909,-0.12976177589554877,-0.007879063108800936,-0.20582820996372808,2.3970847705612046,3.420971860895456,0.0256860732999955,0.7672964090631013
AAT2,-0.017968452348698306,-0.025533018464087228,-0.05340375582790831,0.0848942750370383,8.521104772270672,3.416235077067399,0.02581530119951702,0.7672964090631013
DSF2,0.049354130796746484,0.03377503385343846,0.12345906601055029,-0.011290962287570143,6.354317333595652,3.4070983624099536,0.026072497292149527,0.7703902348521919
SWM2,-0.10786332866186894,-0.1912263058606324,-0.37166805377424356,-0.06749194247392029,2.2043579766191974,3.4020662933024655,0.026219037553312636,0.7703902348521919
TAH11,-0.1256984924166378,-0.06990327797534229,-0.20749576829352367,-0.11799563775561954,5.509387818873947,3.3845870801762694,0.026717976729305176,0.7805899792164046
PFD1,-0.06897225145670052,-0.13461681182272142,-0.12864836087573367,-0.12236208528951524,3.8008724256874444,3.3765887086349693,0.026952229013089822,0.7829850937023043
RPL26A,-0.10139953678716931,-0.14720549914496112,-0.25647130811612295,-0.12859701447696645,8.756600752485303,3.3666305251136164,0.02724509862517409,0.7842633571792504
DMA2,-0.01008661172149327,0.06930277780905518,0.06763719123473573,-0.0778119130709771,5.433963138518505,3.3631442735575297,0.027348752471588574,0.7842633571792504
POC4,-0.15261078303645548,-0.14904302030813277,-0.32780748311460123,-0.10042444216022714,3.9783235204249827,3.357057454647984,0.02753144170735484,0.7842633571792504
STE11,0.09898588357561813,0.10257996532377778,0.12870241551394151,-0.04170255680775751,6.055115512436366,3.3545400590184395,0.027606314206426355,0.7842633571792504
NFT1,-0.03653821206299167,0.010454505188492235,4.516179267609541e-4,-0.20414223151846325,4.786793427718977,3.3484454487032833,0.027790384038780806,0.7851546963044554
