Name,pval_Speed,pval_Biorep,FDR_Speed,FDR_Biorep
AAC1,0.45973780735981007,0.9711883275522122,0.9937733971555656,0.9894690668265256
AAC3,0.968972455780019,0.150304055697913,0.9937733971555656,0.6656877298868809
AAD15,0.5876298428487026,0.687461591284972,0.9937733971555656,0.8540962798952826
AAH1,0.6881863051863797,0.560722988319138,0.9937733971555656,0.793616088557975
AAN1,0.6292872323910739,0.04660382067601708,0.9937733971555656,0.608890796752743
AAP1,0.9857283210056075,0.970209252230882,0.9967448595341708,0.9889988398215385
AAR2,0.5401750381472845,0.03796214612767283,0.9937733971555656,0.608890796752743
AAT1,0.16713887736364136,0.04735095825553024,0.9937733971555656,0.608890796752743
AAT2,0.5241778822658012,0.5411706999698702,0.9937733971555656,0.782810984721996
ABD1,0.5406874427166605,0.3712656698158373,0.9937733971555656,0.7172208775040227
ABF1,0.6365833352206636,0.849152235913619,0.9937733971555656,0.9367689066488387
ABF2,0.5177941740039536,0.4397198965816642,0.9937733971555656,0.7405902984165758
ABM1,0.7957922799048414,0.04503940105459043,0.9937733971555656,0.608890796752743
ABP1,0.2078263682823099,0.5395718168382683,0.9937733971555656,0.7822041957097196
ABZ1,0.690026669249878,0.6597796071472228,0.9937733971555656,0.8432977230800447
ABZ2,0.4968722745873275,0.21877882767368761,0.9937733971555656,0.6887647202479469
ACA1,0.33743589497481835,0.36212028470075663,0.9937733971555656,0.7114088315372219
ACC1,0.9607658269289934,0.7951045116559105,0.9937733971555656,0.9093477310797802
ACE2,0.7524969705828677,0.9840783768053749,0.9937733971555656,0.9929613448848583
ACF2,0.18274320557637325,0.7871209524612816,0.9937733971555656,0.9074179398513795
ACF4,0.788554217677644,0.2999316956684204,0.9937733971555656,0.708936015414716
ACH1,0.8522106876902795,0.27064140741676773,0.9937733971555656,0.7051941009455432
ACK1,0.8949047220895181,0.1904164889693797,0.9937733971555656,0.6864179057754617
ACL4,0.7321216249302713,0.2899564473082116,0.9937733971555656,0.7081815747738351
