"","Barcode","Row","Column","Col","ScreenID","Treatment","Medium","ORF","Screen.Name","Library.Name","MasterPlate.Number","Timeseries.order","Inoc.Time","TileX","TileY","XOffset","YOffset","Threshold","EdgeLength","EdgePixels","RepQuad","K","r","g","v","objval","tshift","t0","d0","nAUC","nSTP","nr","nr_t","maxslp","maxslp_t","Gene","Model","TimeFormat","Normalization","AUCLim","MDP","MDR","MDRMDP","DT","AUC","glog_maxslp"
"1","QFA1705484730",1,1,1,"","UNKNOWN","UNKNOWN","EDGE_1","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0627768377448706,0.619153308002548,0.000610545392047141,0.14192292283213,0.000190889161014353,1.66666666666667,0,0.000456723152004271,2.8141204397735,0.0255634972012747,0.306331492385681,10.0812025647009,0.0027028327891955,14.4881282572702,"EDGE_1","Glog","h","Raw",72.0013888888889,6.68398998886172,0.406429748619197,32.1301324833471,59.0507955717747,2.77906576146276,0.00189626948709251
"2","QFA1705484730",1,2,2,"","UNKNOWN","UNKNOWN","EDGE_7","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.057854678145538,0.771870144462236,0.000389334854886706,0.129356373253151,0.000197079267422855,1.83333333333333,0,0.000306328710956779,2.71418359742891,0.0258400135653069,0.329794307845077,10.0595999877766,0.00289383085154415,14.495329116245,"EDGE_7","Glog","h","Raw",72.0013888888889,7.21527830398198,0.50302036912932,39.7068081144782,47.7117855913901,2.71331558082259,0.00199721646285554
"3","QFA1705484730",1,3,3,"","UNKNOWN","UNKNOWN","EDGE_9","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0562366473346781,0.721212831474158,0.00047098225033267,0.1328643148902,0.000173502032358473,0.5,0,0.000365980315106538,2.67402427137542,0.0265245252975327,0.315387240270582,10.0379974108522,0.00282348061937665,14.4737265393206,"EDGE_9","Glog","h","Raw",72.0013888888889,6.89969408671538,0.46264498055741,36.500772121464,51.8756303615009,2.60426717461885,0.00186013606722815
"4","QFA1705484730",1,4,4,"","UNKNOWN","UNKNOWN","EDGE_11","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.053129989393674,0.702285726527594,0.000511831823398497,0.144413991229813,0.000152187209333297,1.33333333333333,0,0.000367532694775676,2.56702060984302,0.0253247317023356,0.328057003740057,10.0812025647009,0.00278075321670165,14.5025299752197,"EDGE_11","Glog","h","Raw",72.0013888888889,6.69771276413226,0.467602564855906,36.8535689773606,51.3256380605947,2.53629140276698,0.00185019900702074
"5","QFA1705484730",1,5,5,"","UNKNOWN","UNKNOWN","EDGE_13","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0581241141443313,0.756238306485064,0.000578207505123512,0.134131606306255,0.000191133323938348,2.5,0,0.00040186361110841,2.77869374398983,0.026943898603834,0.308376356175089,10.045198269827,0.00278618141863474,14.4665256803458,"EDGE_13","Glog","h","Raw",72.0013888888889,6.65140567818815,0.474402486655372,37.4509846432428,50.5899540476791,2.79087877816262,0.00203398022330074
"6","QFA1705484730",1,6,6,"","UNKNOWN","UNKNOWN","EDGE_15","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0596781590189687,0.763755505920092,0.000395046850817044,0.133468845327672,0.000186197149262065,1.83333333333333,0,0.000231257200028137,2.8167272089602,0.0263624935155376,0.33947578899074,10.0379974108522,0.00287099168626292,14.5025299752197,"EDGE_15","Glog","h","Raw",72.0013888888889,7.2390354603766,0.510467268383847,40.3174956798555,47.015747113394,2.82100575158426,0.00209933863928724
"7","QFA1705484730",1,7,7,"","UNKNOWN","UNKNOWN","EDGE_17","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0544567032354494,0.789377669927283,0.000594505127503675,0.132995727094152,0.00017333830227675,3.33333333333333,0,0.000373264229504766,2.61220605957651,0.0249931188033133,0.315908974695134,10.1028051416253,0.00280164145220058,14.5097308341945,"EDGE_17","Glog","h","Raw",72.0013888888889,6.51727658219569,0.484009553868388,38.1638899380027,49.5857980657259,2.66840410403638,0.00197333641790178
"8","QFA1705484730",1,8,8,"","UNKNOWN","UNKNOWN","EDGE_19","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0664892504329326,0.564144088223321,0.000747550608638809,0.146960255664935,0.000165557430292696,2.5,0,0.000369583710407909,2.83315910800963,0.0234195745500976,0.320188508311503,12.2126568212377,0.00272888110983138,14.5673377059928,"EDGE_19","Glog","h","Raw",72.0013888888889,6.47480605127656,0.370402266369268,29.3126972411419,64.7944199565818,2.85842793055023,0.0018905688956602
"9","QFA1705484730",2,1,1,"","UNKNOWN","UNKNOWN","EDGE_2","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0538198724318775,0.994932627951477,0.000104477937059969,0.114896469335889,0.000198852580737477,1.5,0,0.000152234975648344,2.57973538271231,0.0244456683362829,0.383263254599697,9.95158710315476,0.00269632315868726,14.4809273982954,"EDGE_2","Glog","h","Raw",72.0013888888889,9.00879684522234,0.705886645485279,55.6467985004851,33.9997932437164,2.58302851755819,0.00214142685528875
"10","QFA1705484730",2,2,2,"","UNKNOWN","UNKNOWN","SAMPLE_1","","Library1",1,431,"2024-01-17_18-45-30",NA,NA,NA,NA,NA,NA,NA,NA,0.0488372713421729,1.00172564313996,0.00032549688766053,0.123154819351442,0.000172897157543495,2.5,0,0.000388569089387124,2.48964614840015,0.0263834265780838,0.36987355514384,10.0235956929026,0.00281266660399904,12.3278705648343,"SAMPLE_1","Glog","h","Raw",72.0013888888889,7.22919503676975,0.630626241254064,49.6254475128528,38.0574077480086,2.52264105945709,0.00208905190740114
